Year,offense_code,Offense,Age,Count,Age Category,Genre
2001,ASR_LIQ,Liquor Laws,m_15,9278,15 year old,Male
2001,ASR_MAN,Manslaughter by Negligence,m_16,23,16 year old,Male
2001,ASR_OTH,All Other Offenses,f_15,17074,15 year old,Female
2001,ASR_PRS,Prostitution and Commercialized Vice,m_13_14,47,13 or 14 year old,Male
2001,ASR_PRS,Prostitution and Commercialized Vice,f_16,237,16 year old,Female
2001,ASR_ROB,Robbery,f_13_14,549,13 or 14 year old,Female
2001,ASR_RPE,Rape,m_16,736,16 year old,Male
2001,ASR_RUN,Runaway,m_10_12,3061,10 to 12 year old,Male
2001,ASR_VAG,Vagrancy,f_16,150,16 year old,Female
2001,ASR_VAG,Vagrancy,f_15,108,15 year old,Female
2000,ASR_AST,Aggravated Assault,f_0_9,111,0 to 9 year old,Female
2000,ASR_AST_SMP,Simple Assault,f_0_9,549,0 to 9 year old,Female
2000,ASR_AST_SMP,Simple Assault,m_0_9,3118,0 to 9 year old,Male
2000,ASR_CUR,Curfew and Loitering Law Violations,f_17,6309,17 year old,Female
2000,ASR_DRG,Drug Abuse Violations,m_17,54655,17 year old,Male
2000,ASR_EMB,Embezzlement,f_16,223,16 year old,Female
2000,ASR_FOR,Forgery and Counterfeiting,f_16,438,16 year old,Female
2000,ASR_FRD,Fraud,f_15,1090,15 year old,Female
2000,ASR_GAM,Gambling,m_15,211,15 year old,Male
2000,ASR_LRC,Larceny,m_15,30136,15 year old,Male
2000,ASR_MVT,Motor Vehicle Theft,m_17,7985,17 year old,Male
2000,ASR_ROB,Robbery,f_17,572,17 year old,Female
2005,ASR_LIQ,Liquor Laws,m_16,17632,16 year old,Male
2005,ASR_LRC,Larceny,m_10_12,12082,10 to 12 year old,Male
2005,ASR_LRC,Larceny,f_15,19921,15 year old,Female
2005,ASR_ROB,Robbery,m_17,5866,17 year old,Male
2005,ASR_RUN,Runaway,f_0_9,294,0 to 9 year old,Female
2005,ASR_RUN,Runaway,m_15,8960,15 year old,Male
2005,ASR_SUS,Suspicion,f_17,35,17 year old,Female
2005,ASR_VAN,Vandalism,f_10_12,1304,10 to 12 year old,Female
2004,ASR_AST,Aggravated Assault,f_17,2188,17 year old,Female
2004,ASR_BRG,Burglary,f_10_12,641,10 to 12 year old,Female
2004,ASR_BRG,Burglary,m_15,10373,15 year old,Male
2004,ASR_CUR,Curfew and Loitering Law Violations,m_10_12,3421,10 to 12 year old,Male
2004,ASR_DRG,Drug Abuse Violations,m_13_14,16468,13 or 14 year old,Male
2004,ASR_FAM,Offenses Against the Family and Children,f_16,396,16 year old,Female
2004,ASR_FOR,Forgery and Counterfeiting,f_17,626,17 year old,Female
2004,ASR_FOR,Forgery and Counterfeiting,m_17,1074,17 year old,Male
2004,ASR_FOR,Forgery and Counterfeiting,m_0_9,13,0 to 9 year old,Male
2004,ASR_SUS,Suspicion,m_15,104,15 year old,Male
2003,ASR_BRG,Burglary,m_13_14,13801,13 or 14 year old,Male
2003,ASR_BRG,Burglary,m_15,10857,15 year old,Male
2003,ASR_FOR,Forgery and Counterfeiting,f_17,637,17 year old,Female
2008,ASR_STP,Stolen Property,f_0_9,6,0 to 9 year old,Female
2008,ASR_SUS,Suspicion,f_17,15,17 year old,Female
2008,ASR_SUS,Suspicion,m_0_9,1,0 to 9 year old,Male
2008,ASR_VAN,Vandalism,f_16,2247,16 year old,Female
2008,ASR_VAN,Vandalism,m_16,14911,16 year old,Male
2007,ASR_CUR,Curfew and Loitering Law Violations,f_15,8527,15 year old,Female
2007,ASR_DIS,Disorderly Conduct,m_10_12,9436,10 to 12 year old,Male
2007,ASR_FAM,Offenses Against the Family and Children,f_17,397,17 year old,Female
2007,ASR_FRD,Fraud,m_0_9,35,0 to 9 year old,Male
2007,ASR_GAM,Gambling,f_13_14,3,13 or 14 year old,Female
2007,ASR_HOM,Murder and Nonnegligent Homicide,m_10_12,6,10 to 12 year old,Male
2007,ASR_LIQ,Liquor Laws,m_10_12,318,10 to 12 year old,Male
2007,ASR_MAN,Manslaughter by Negligence,m_17,28,17 year old,Male
2007,ASR_OTH,All Other Offenses,m_10_12,9510,10 to 12 year old,Male
2007,ASR_OTH,All Other Offenses,m_16,55430,16 year old,Male
2007,ASR_OTH,All Other Offenses,m_15,42682,15 year old,Male
2007,ASR_RUN,Runaway,f_17,7396,17 year old,Female
2007,ASR_RUN,Runaway,m_0_9,415,0 to 9 year old,Male
2007,ASR_VAG,Vagrancy,f_17,76,17 year old,Female
2006,ASR_FAM,Offenses Against the Family and Children,m_17,632,17 year old,Male
2006,ASR_FOR,Forgery and Counterfeiting,f_17,454,17 year old,Female
2006,ASR_LIQ,Liquor Laws,f_17,15991,17 year old,Female
2006,ASR_LRC,Larceny,m_15,24909,15 year old,Male
2006,ASR_RPE,Rape,m_16,565,16 year old,Male
2006,ASR_RUN,Runaway,f_0_9,224,0 to 9 year old,Female
2006,ASR_SEX,Sex Offenses,m_10_12,1408,10 to 12 year old,Male
2006,ASR_SUS,Suspicion,f_16,19,16 year old,Female
2006,ASR_WEAP,Weapons,f_0_9,27,0 to 9 year old,Female
2005,ASR_AST,Aggravated Assault,m_0_9,503,0 to 9 year old,Male
2005,ASR_DIS,Disorderly Conduct,m_15,21692,15 year old,Male
2005,ASR_DRK,Drunkenness,m_15,1365,15 year old,Male
2005,ASR_EMB,Embezzlement,m_17,277,17 year old,Male
2005,ASR_GAM,Gambling,f_15,9,15 year old,Female
2011,ASR_STP,Stolen Property,m_16,2237,16 year old,Male
2011,ASR_SUS,Suspicion,m_13_14,17,13 or 14 year old,Male
2011,ASR_VAN,Vandalism,m_10_12,5107,10 to 12 year old,Male
2010,ASR_ARSON,Arson,f_10_12,90,10 to 12 year old,Female
2010,ASR_CUR,Curfew and Loitering Law Violations,f_10_12,895,10 to 12 year old,Female
2010,ASR_DIS,Disorderly Conduct,f_10_12,3546,10 to 12 year old,Female
2010,ASR_DIS,Disorderly Conduct,f_17,7718,17 year old,Female
2010,ASR_DRK,Drunkenness,f_16,626,16 year old,Female
2010,ASR_FOR,Forgery and Counterfeiting,f_15,39,15 year old,Female
2010,ASR_FRD,Fraud,f_16,381,16 year old,Female
2010,ASR_FRD,Fraud,m_16,838,16 year old,Male
2010,ASR_GAM,Gambling,m_10_12,5,10 to 12 year old,Male
2010,ASR_LIQ,Liquor Laws,f_13_14,3466,13 or 14 year old,Female
2010,ASR_OTH,All Other Offenses,f_13_14,13546,13 or 14 year old,Female
2010,ASR_PRS,Prostitution and Commercialized Vice,m_16,36,16 year old,Male
2010,ASR_RUN,Runaway,f_15,9901,15 year old,Female
2010,ASR_SEX,Sex Offenses,m_0_9,162,0 to 9 year old,Male
2009,ASR_AST,Aggravated Assault,m_10_12,2450,10 to 12 year old,Male
2009,ASR_BRG,Burglary,m_13_14,11022,13 or 14 year old,Male
2009,ASR_DRG,Drug Abuse Violations,f_0_9,24,0 to 9 year old,Female
2009,ASR_EMB,Embezzlement,m_10_12,6,10 to 12 year old,Male
2009,ASR_FAM,Offenses Against the Family and Children,m_10_12,166,10 to 12 year old,Male
2009,ASR_FAM,Offenses Against the Family and Children,m_17,675,17 year old,Male
2009,ASR_FRD,Fraud,m_13_14,436,13 or 14 year old,Male
2009,ASR_FRD,Fraud,f_16,470,16 year old,Female
2009,ASR_FRD,Fraud,f_0_9,14,0 to 9 year old,Female
2009,ASR_GAM,Gambling,f_17,19,17 year old,Female
2009,ASR_GAM,Gambling,m_15,234,15 year old,Male
2009,ASR_HOM,Murder and Nonnegligent Homicide,m_0_9,1,0 to 9 year old,Male
2009,ASR_LIQ,Liquor Laws,m_16,15558,16 year old,Male
2009,ASR_MVT,Motor Vehicle Theft,f_13_14,637,13 or 14 year old,Female
2009,ASR_ROB,Robbery,m_15,4686,15 year old,Male
2009,ASR_RPE,Rape,m_16,539,16 year old,Male
2009,ASR_VAG,Vagrancy,f_10_12,22,10 to 12 year old,Female
2008,ASR_ARSON,Arson,m_0_9,284,0 to 9 year old,Male
2008,ASR_CUR,Curfew and Loitering Law Violations,f_10_12,1326,10 to 12 year old,Female
2008,ASR_DRG,Drug Abuse Violations,m_0_9,160,0 to 9 year old,Male
2008,ASR_DUI,Drive Under the Influence,f_0_9,9,0 to 9 year old,Female
2008,ASR_EMB,Embezzlement,m_13_14,14,13 or 14 year old,Male
2008,ASR_FOR,Forgery and Counterfeiting,f_16,155,16 year old,Female
2008,ASR_FOR,Forgery and Counterfeiting,f_15,58,15 year old,Female
2008,ASR_LIQ,Liquor Laws,m_15,8653,15 year old,Male
2008,ASR_MVT,Motor Vehicle Theft,f_13_14,656,13 or 14 year old,Female
2008,ASR_MVT,Motor Vehicle Theft,f_15,730,15 year old,Female
2008,ASR_MVT,Motor Vehicle Theft,m_17,4819,17 year old,Male
2005,ASR_LRC,Larceny,m_13_14,34463,13 or 14 year old,Male
2005,ASR_ROB,Robbery,f_13_14,472,13 or 14 year old,Female
2005,ASR_RUN,Runaway,f_10_12,2183,10 to 12 year old,Female
2005,ASR_VAN,Vandalism,f_15,2008,15 year old,Female
2005,ASR_VAN,Vandalism,m_17,13541,17 year old,Male
2004,ASR_AST,Aggravated Assault,m_17,8661,17 year old,Male
2004,ASR_DUI,Drive Under the Influence,f_15,130,15 year old,Female
2004,ASR_LRC,Larceny,f_0_9,584,0 to 9 year old,Female
2004,ASR_OTH,All Other Offenses,f_10_12,3979,10 to 12 year old,Female
2004,ASR_OTH,All Other Offenses,f_16,18547,16 year old,Female
2004,ASR_ROB,Robbery,m_16,4566,16 year old,Male
2004,ASR_ROB,Robbery,m_15,3433,15 year old,Male
2004,ASR_RPE,Rape,f_10_12,18,10 to 12 year old,Female
2004,ASR_RUN,Runaway,f_0_9,364,0 to 9 year old,Female
2004,ASR_SEX,Sex Offenses,f_16,195,16 year old,Female
2004,ASR_SUS,Suspicion,f_13_14,46,13 or 14 year old,Female
2004,ASR_VAG,Vagrancy,f_10_12,33,10 to 12 year old,Female
2004,ASR_VAN,Vandalism,m_17,12704,17 year old,Male
2003,ASR_ARSON,Arson,m_17,520,17 year old,Male
2003,ASR_BRG,Burglary,f_15,1413,15 year old,Female
2003,ASR_DRG,Drug Abuse Violations,m_16,32980,16 year old,Male
2003,ASR_FAM,Offenses Against the Family and Children,m_17,847,17 year old,Male
2002,ASR_FAM,Offenses Against the Family and Children,m_15,754,15 year old,Male
2002,ASR_FRD,Fraud,m_0_9,58,0 to 9 year old,Male
2002,ASR_PRS,Prostitution and Commercialized Vice,f_13_14,93,13 or 14 year old,Female
2002,ASR_PRS,Prostitution and Commercialized Vice,m_17,159,17 year old,Male
2002,ASR_ROB,Robbery,m_10_12,802,10 to 12 year old,Male
2002,ASR_ROB,Robbery,f_0_9,9,0 to 9 year old,Female
2002,ASR_RUN,Runaway,f_15,14515,15 year old,Female
2002,ASR_STP,Stolen Property,f_16,730,16 year old,Female
2002,ASR_SUS,Suspicion,f_16,92,16 year old,Female
2002,ASR_VAN,Vandalism,m_15,11898,15 year old,Male
2001,ASR_AST,Aggravated Assault,f_17,2438,17 year old,Female
2001,ASR_BRG,Burglary,m_13_14,14400,13 or 14 year old,Male
2001,ASR_DRG,Drug Abuse Violations,f_13_14,4818,13 or 14 year old,Female
2001,ASR_FOR,Forgery and Counterfeiting,m_10_12,62,10 to 12 year old,Male
2001,ASR_FOR,Forgery and Counterfeiting,f_17,762,17 year old,Female
2001,ASR_HOM,Murder and Nonnegligent Homicide,m_17,465,17 year old,Male
2001,ASR_LIQ,Liquor Laws,f_17,12368,17 year old,Female
2001,ASR_LIQ,Liquor Laws,m_0_9,127,0 to 9 year old,Male
2001,ASR_PRS,Prostitution and Commercialized Vice,m_10_12,11,10 to 12 year old,Male
2001,ASR_STP,Stolen Property,m_10_12,888,10 to 12 year old,Male
2001,ASR_WEAP,Weapons,f_15,637,15 year old,Female
2000,ASR_ARSON,Arson,f_10_12,181,10 to 12 year old,Female
2000,ASR_AST_SMP,Simple Assault,m_10_12,15902,10 to 12 year old,Male
2000,ASR_BRG,Burglary,m_16,12385,16 year old,Male
2000,ASR_DRK,Drunkenness,m_13_14,1102,13 or 14 year old,Male
2000,ASR_DRK,Drunkenness,f_15,571,15 year old,Female
2000,ASR_GAM,Gambling,m_13_14,178,13 or 14 year old,Male
2000,ASR_LRC,Larceny,m_16,33588,16 year old,Male
2000,ASR_LRC,Larceny,m_17,36084,17 year old,Male
2000,ASR_MVT,Motor Vehicle Theft,f_15,1457,15 year old,Female
2000,ASR_OTH,All Other Offenses,f_10_12,4326,10 to 12 year old,Female
2000,ASR_PRS,Prostitution and Commercialized Vice,m_17,255,17 year old,Male
2000,ASR_RPE,Rape,f_10_12,10,10 to 12 year old,Female
2000,ASR_RPE,Rape,f_13_14,13,13 or 14 year old,Female
2000,ASR_SEX,Sex Offenses,f_17,106,17 year old,Female
2000,ASR_STP,Stolen Property,f_17,817,17 year old,Female
2000,ASR_SUS,Suspicion,m_17,229,17 year old,Male
2000,ASR_VAG,Vagrancy,m_17,839,17 year old,Male
2000,ASR_VAN,Vandalism,m_13_14,19029,13 or 14 year old,Male
1999,ASR_BRG,Burglary,f_16,1528,16 year old,Female
2005,ASR_MVT,Motor Vehicle Theft,m_15,5611,15 year old,Male
2005,ASR_PRS,Prostitution and Commercialized Vice,f_0_9,7,0 to 9 year old,Female
2005,ASR_RUN,Runaway,f_15,13674,15 year old,Female
2005,ASR_VAG,Vagrancy,f_17,105,17 year old,Female
2005,ASR_WEAP,Weapons,f_16,721,16 year old,Female
2005,ASR_WEAP,Weapons,f_17,592,17 year old,Female
2004,ASR_ARSON,Arson,f_15,139,15 year old,Female
2004,ASR_AST,Aggravated Assault,m_13_14,8294,13 or 14 year old,Male
2004,ASR_DUI,Drive Under the Influence,m_0_9,82,0 to 9 year old,Male
2004,ASR_FOR,Forgery and Counterfeiting,f_16,311,16 year old,Female
2004,ASR_FRD,Fraud,f_17,873,17 year old,Female
2004,ASR_FRD,Fraud,f_0_9,45,0 to 9 year old,Female
2004,ASR_FRD,Fraud,m_0_9,42,0 to 9 year old,Male
2011,ASR_VAN,Vandalism,m_13_14,11879,13 or 14 year old,Male
2011,ASR_WEAP,Weapons,f_15,448,15 year old,Female
2010,ASR_BRG,Burglary,m_10_12,2672,10 to 12 year old,Male
2010,ASR_BRG,Burglary,f_17,1601,17 year old,Female
2010,ASR_DIS,Disorderly Conduct,f_0_9,110,0 to 9 year old,Female
2010,ASR_EMB,Embezzlement,m_13_14,13,13 or 14 year old,Male
2010,ASR_FOR,Forgery and Counterfeiting,f_0_9,1,0 to 9 year old,Female
2010,ASR_FRD,Fraud,m_15,469,15 year old,Male
2010,ASR_HOM,Murder and Nonnegligent Homicide,m_16,228,16 year old,Male
2010,ASR_MAN,Manslaughter by Negligence,m_13_14,6,13 or 14 year old,Male
2009,ASR_ARSON,Arson,m_13_14,1312,13 or 14 year old,Male
2009,ASR_ARSON,Arson,f_0_9,15,0 to 9 year old,Female
2009,ASR_ARSON,Arson,m_16,521,16 year old,Male
2009,ASR_AST,Aggravated Assault,f_13_14,2412,13 or 14 year old,Female
2009,ASR_AST_SMP,Simple Assault,f_15,12471,15 year old,Female
2009,ASR_DIS,Disorderly Conduct,m_13_14,23260,13 or 14 year old,Male
2008,ASR_PRS,Prostitution and Commercialized Vice,f_0_9,5,0 to 9 year old,Female
2008,ASR_RUN,Runaway,m_0_9,418,0 to 9 year old,Male
2008,ASR_VAG,Vagrancy,f_13_14,263,13 or 14 year old,Female
2008,ASR_WEAP,Weapons,m_10_12,2131,10 to 12 year old,Male
2007,ASR_ARSON,Arson,m_0_9,338,0 to 9 year old,Male
2007,ASR_AST,Aggravated Assault,f_10_12,658,10 to 12 year old,Female
2007,ASR_AST,Aggravated Assault,f_13_14,2705,13 or 14 year old,Female
2007,ASR_BRG,Burglary,m_10_12,3563,10 to 12 year old,Male
2007,ASR_BRG,Burglary,m_17,14656,17 year old,Male
2007,ASR_BRG,Burglary,m_0_9,567,0 to 9 year old,Male
2007,ASR_DIS,Disorderly Conduct,m_0_9,935,0 to 9 year old,Male
2007,ASR_EMB,Embezzlement,f_16,170,16 year old,Female
2007,ASR_FAM,Offenses Against the Family and Children,m_15,472,15 year old,Male
2007,ASR_LIQ,Liquor Laws,m_17,35140,17 year old,Male
2007,ASR_MAN,Manslaughter by Negligence,f_13_14,2,13 or 14 year old,Female
2007,ASR_OTH,All Other Offenses,f_0_9,525,0 to 9 year old,Female
2007,ASR_ROB,Robbery,f_13_14,556,13 or 14 year old,Female
2007,ASR_ROB,Robbery,f_15,552,15 year old,Female
2007,ASR_ROB,Robbery,m_15,4960,15 year old,Male
2007,ASR_RPE,Rape,f_10_12,3,10 to 12 year old,Female
2007,ASR_RPE,Rape,f_17,7,17 year old,Female
2007,ASR_RPE,Rape,f_15,7,15 year old,Female
2007,ASR_RUN,Runaway,f_0_9,209,0 to 9 year old,Female
2007,ASR_SUS,Suspicion,f_13_14,17,13 or 14 year old,Female
2006,ASR_ARSON,Arson,m_16,770,16 year old,Male
2006,ASR_AST_SMP,Simple Assault,f_13_14,19158,13 or 14 year old,Female
2006,ASR_BRG,Burglary,m_0_9,636,0 to 9 year old,Male
2006,ASR_DIS,Disorderly Conduct,f_15,11814,15 year old,Female
2006,ASR_EMB,Embezzlement,m_15,31,15 year old,Male
2006,ASR_FOR,Forgery and Counterfeiting,m_15,256,15 year old,Male
2006,ASR_HOM,Murder and Nonnegligent Homicide,f_10_12,1,10 to 12 year old,Female
2002,ASR_FOR,Forgery and Counterfeiting,m_17,1125,17 year old,Male
2002,ASR_FOR,Forgery and Counterfeiting,m_15,336,15 year old,Male
2002,ASR_FRD,Fraud,f_16,549,16 year old,Female
2002,ASR_GAM,Gambling,m_13_14,140,13 or 14 year old,Male
2002,ASR_HOM,Murder and Nonnegligent Homicide,m_15,131,15 year old,Male
2002,ASR_MVT,Motor Vehicle Theft,f_13_14,1709,13 or 14 year old,Female
2002,ASR_PRS,Prostitution and Commercialized Vice,f_15,129,15 year old,Female
2002,ASR_RUN,Runaway,m_16,9899,16 year old,Male
2002,ASR_STP,Stolen Property,f_13_14,808,13 or 14 year old,Female
2002,ASR_STP,Stolen Property,f_17,793,17 year old,Female
2002,ASR_SUS,Suspicion,f_0_9,1,0 to 9 year old,Female
2002,ASR_VAG,Vagrancy,m_17,362,17 year old,Male
2001,ASR_AST,Aggravated Assault,f_15,2411,15 year old,Female
2001,ASR_DIS,Disorderly Conduct,f_13_14,12507,13 or 14 year old,Female
2001,ASR_DIS,Disorderly Conduct,f_0_9,223,0 to 9 year old,Female
2001,ASR_DRK,Drunkenness,f_10_12,44,10 to 12 year old,Female
2001,ASR_EMB,Embezzlement,f_17,355,17 year old,Female
2001,ASR_FAM,Offenses Against the Family and Children,f_0_9,93,0 to 9 year old,Female
2001,ASR_LRC,Larceny,m_10_12,18028,10 to 12 year old,Male
2001,ASR_LRC,Larceny,m_13_14,40514,13 or 14 year old,Male
2001,ASR_OTH,All Other Offenses,f_13_14,19474,13 or 14 year old,Female
2001,ASR_RPE,Rape,f_0_9,1,0 to 9 year old,Female
2001,ASR_SEX,Sex Offenses,f_0_9,58,0 to 9 year old,Female
2001,ASR_STP,Stolen Property,m_15,3197,15 year old,Male
2001,ASR_VAG,Vagrancy,f_13_14,105,13 or 14 year old,Female
2000,ASR_DIS,Disorderly Conduct,f_16,6541,16 year old,Female
2000,ASR_EMB,Embezzlement,f_10_12,6,10 to 12 year old,Female
2000,ASR_FRD,Fraud,f_16,648,16 year old,Female
2000,ASR_FRD,Fraud,m_0_9,30,0 to 9 year old,Male
2000,ASR_HOM,Murder and Nonnegligent Homicide,m_17,435,17 year old,Male
2000,ASR_LRC,Larceny,f_17,20027,17 year old,Female
2000,ASR_OTH,All Other Offenses,m_16,55278,16 year old,Male
2000,ASR_RUN,Runaway,f_16,13779,16 year old,Female
2000,ASR_SEX,Sex Offenses,m_16,1798,16 year old,Male
2000,ASR_SEX,Sex Offenses,m_15,1986,15 year old,Male
2000,ASR_STP,Stolen Property,m_17,5106,17 year old,Male
2000,ASR_VAN,Vandalism,f_16,1908,16 year old,Female
2000,ASR_VAN,Vandalism,f_15,1860,15 year old,Female
1999,ASR_ARSON,Arson,m_16,540,16 year old,Male
1996,ASR_AST,Aggravated Assault,m_10_12,3611,10 to 12 year old,Male
1996,ASR_DIS,Disorderly Conduct,f_16,8261,16 year old,Female
1996,ASR_DRG,Drug Abuse Violations,m_10_12,2364,10 to 12 year old,Male
1996,ASR_DUI,Drive Under the Influence,m_13_14,130,13 or 14 year old,Male
1996,ASR_MVT,Motor Vehicle Theft,m_10_12,1420,10 to 12 year old,Male
1996,ASR_MVT,Motor Vehicle Theft,m_0_9,187,0 to 9 year old,Male
1996,ASR_OTH,All Other Offenses,f_10_12,4163,10 to 12 year old,Female
1996,ASR_OTH,All Other Offenses,m_16,64925,16 year old,Male
1996,ASR_PRS,Prostitution and Commercialized Vice,f_17,282,17 year old,Female
1996,ASR_ROB,Robbery,f_17,785,17 year old,Female
1996,ASR_RPE,Rape,f_17,9,17 year old,Female
1996,ASR_SUS,Suspicion,m_17,346,17 year old,Male
1996,ASR_VAN,Vandalism,f_10_12,1452,10 to 12 year old,Female
1995,ASR_AST,Aggravated Assault,f_10_12,981,10 to 12 year old,Female
1995,ASR_AST,Aggravated Assault,m_16,13077,16 year old,Male
1995,ASR_DIS,Disorderly Conduct,f_17,6175,17 year old,Female
1995,ASR_FRD,Fraud,f_13_14,1121,13 or 14 year old,Female
1995,ASR_HOM,Murder and Nonnegligent Homicide,m_13_14,257,13 or 14 year old,Male
1995,ASR_MVT,Motor Vehicle Theft,m_10_12,1858,10 to 12 year old,Male
1995,ASR_ROB,Robbery,m_13_14,9312,13 or 14 year old,Male
1994,ASR_ARSON,Arson,f_16,107,16 year old,Female
1994,ASR_ARSON,Arson,m_16,846,16 year old,Male
1994,ASR_AST,Aggravated Assault,f_13_14,3933,13 or 14 year old,Female
1994,ASR_AST,Aggravated Assault,f_16,2756,16 year old,Female
1994,ASR_BRG,Burglary,m_15,20245,15 year old,Male
1994,ASR_DUI,Drive Under the Influence,f_16,456,16 year old,Female
1994,ASR_DUI,Drive Under the Influence,f_17,944,17 year old,Female
1994,ASR_DUI,Drive Under the Influence,m_16,2419,16 year old,Male
1994,ASR_FOR,Forgery and Counterfeiting,m_0_9,23,0 to 9 year old,Male
1994,ASR_FOR,Forgery and Counterfeiting,m_15,606,15 year old,Male
1994,ASR_HOM,Murder and Nonnegligent Homicide,f_15,25,15 year old,Female
1994,ASR_LRC,Larceny,f_10_12,14835,10 to 12 year old,Female
1994,ASR_LRC,Larceny,m_0_9,7398,0 to 9 year old,Male
1994,ASR_OTH,All Other Offenses,m_10_12,15905,10 to 12 year old,Male
1994,ASR_OTH,All Other Offenses,m_13_14,53017,13 or 14 year old,Male
1994,ASR_OTH,All Other Offenses,m_17,84539,17 year old,Male
1994,ASR_ROB,Robbery,f_17,776,17 year old,Female
1994,ASR_ROB,Robbery,m_15,8996,15 year old,Male
1994,ASR_SEX,Sex Offenses,m_17,2094,17 year old,Male
1994,ASR_VAN,Vandalism,f_17,1864,17 year old,Female
1994,ASR_WEAP,Weapons,m_17,12735,17 year old,Male
1999,ASR_DUI,Drive Under the Influence,f_16,724,16 year old,Female
1999,ASR_FOR,Forgery and Counterfeiting,m_10_12,61,10 to 12 year old,Male
1999,ASR_FRD,Fraud,m_16,2460,16 year old,Male
1999,ASR_LRC,Larceny,m_13_14,46606,13 or 14 year old,Male
1999,ASR_PRS,Prostitution and Commercialized Vice,m_13_14,45,13 or 14 year old,Male
1999,ASR_ROB,Robbery,f_15,572,15 year old,Female
1999,ASR_RUN,Runaway,m_15,10454,15 year old,Male
1999,ASR_SUS,Suspicion,m_10_12,58,10 to 12 year old,Male
1998,ASR_AST_SMP,Simple Assault,f_13_14,16449,13 or 14 year old,Female
1998,ASR_CUR,Curfew and Loitering Law Violations,f_10_12,1942,10 to 12 year old,Female
1998,ASR_CUR,Curfew and Loitering Law Violations,m_17,23254,17 year old,Male
1998,ASR_DIS,Disorderly Conduct,m_13_14,23150,13 or 14 year old,Male
1998,ASR_DIS,Disorderly Conduct,f_15,8383,15 year old,Female
1998,ASR_DRG,Drug Abuse Violations,m_13_14,17142,13 or 14 year old,Male
1998,ASR_FOR,Forgery and Counterfeiting,f_15,257,15 year old,Female
1998,ASR_FRD,Fraud,f_10_12,199,10 to 12 year old,Female
1998,ASR_FRD,Fraud,f_16,812,16 year old,Female
1998,ASR_LIQ,Liquor Laws,f_13_14,4440,13 or 14 year old,Female
1998,ASR_RUN,Runaway,f_15,18651,15 year old,Female
1998,ASR_SEX,Sex Offenses,f_10_12,143,10 to 12 year old,Female
2011,ASR_RUN,Runaway,f_16,8747,16 year old,Female
2011,ASR_SEX,Sex Offenses,f_10_12,125,10 to 12 year old,Female
2011,ASR_SEX,Sex Offenses,m_0_9,161,0 to 9 year old,Male
2011,ASR_STP,Stolen Property,m_10_12,284,10 to 12 year old,Male
2011,ASR_STP,Stolen Property,f_0_9,5,0 to 9 year old,Female
2011,ASR_STP,Stolen Property,m_17,2998,17 year old,Male
2011,ASR_STP,Stolen Property,m_15,1795,15 year old,Male
2011,ASR_WEAP,Weapons,f_10_12,291,10 to 12 year old,Female
2010,ASR_AST,Aggravated Assault,m_13_14,5766,13 or 14 year old,Male
2010,ASR_EMB,Embezzlement,f_15,9,15 year old,Female
2010,ASR_FAM,Offenses Against the Family and Children,m_0_9,42,0 to 9 year old,Male
2010,ASR_LIQ,Liquor Laws,f_17,12656,17 year old,Female
2010,ASR_LRC,Larceny,f_15,20260,15 year old,Female
2010,ASR_OTH,All Other Offenses,f_16,15775,16 year old,Female
2010,ASR_ROB,Robbery,f_15,463,15 year old,Female
2010,ASR_RPE,Rape,f_10_12,10,10 to 12 year old,Female
2010,ASR_RPE,Rape,f_15,14,15 year old,Female
2010,ASR_RUN,Runaway,f_13_14,10022,13 or 14 year old,Female
2010,ASR_VAN,Vandalism,m_13_14,13756,13 or 14 year old,Male
2009,ASR_AST,Aggravated Assault,f_10_12,648,10 to 12 year old,Female
2009,ASR_CUR,Curfew and Loitering Law Violations,m_16,18319,16 year old,Male
2009,ASR_DIS,Disorderly Conduct,f_16,10068,16 year old,Female
2009,ASR_DRG,Drug Abuse Violations,f_17,7773,17 year old,Female
2009,ASR_DRG,Drug Abuse Violations,m_15,19353,15 year old,Male
2009,ASR_DRK,Drunkenness,f_10_12,50,10 to 12 year old,Female
2009,ASR_FAM,Offenses Against the Family and Children,f_17,335,17 year old,Female
2009,ASR_FAM,Offenses Against the Family and Children,m_16,586,16 year old,Male
2009,ASR_LRC,Larceny,f_10_12,6151,10 to 12 year old,Female
2009,ASR_MAN,Manslaughter by Negligence,m_13_14,4,13 or 14 year old,Male
2009,ASR_PRS,Prostitution and Commercialized Vice,m_17,100,17 year old,Male
2009,ASR_RPE,Rape,m_0_9,12,0 to 9 year old,Male
2009,ASR_SEX,Sex Offenses,m_10_12,1260,10 to 12 year old,Male
2009,ASR_SEX,Sex Offenses,f_13_14,369,13 or 14 year old,Female
2009,ASR_SUS,Suspicion,m_16,38,16 year old,Male
2008,ASR_BRG,Burglary,f_0_9,59,0 to 9 year old,Female
2008,ASR_BRG,Burglary,m_16,14214,16 year old,Male
2008,ASR_CUR,Curfew and Loitering Law Violations,m_0_9,305,0 to 9 year old,Male
2008,ASR_DIS,Disorderly Conduct,f_0_9,164,0 to 9 year old,Female
2008,ASR_DRG,Drug Abuse Violations,m_10_12,1792,10 to 12 year old,Male
2008,ASR_GAM,Gambling,m_0_9,3,0 to 9 year old,Male
2008,ASR_GAM,Gambling,m_15,260,15 year old,Male
